,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1524141363,0.0,693.5,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1524141364,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141365,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141366,0.0,687.25,310.3,68.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141367,,,,,,,,,,,,,,,,,,,,63.5,34.75,,,,0.0,,
1524141368,,,311.4,65.15,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141369,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141370,,,,,,,,,,,,,,,,,,,,63.75,34.78125,,,,0.0,,
1524141371,,,,,,,,5.0,,,,,,,,,,,,,,,,,0.0,,
1524141372,,,,,,,,,,,,,,,,,,,,64.875,34.90625,,,,0.0,,
1524141373,0.0,685.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141375,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141376,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,0.0,,
1524141377,0.0,676.625,,,0.4,0.2,0.0,,,,,,,,,,35.0625,0.1,,,,,,,0.0,,
1524141378,,,,,,,,5.0,,,,,,,,,,,,,,,,,0.0,,
1524141379,,,,,0.4,0.2,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141380,,,310.65,60.8,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141381,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,0.0,,
1524141383,,,,,,,,5.0,,,,,,,,,,,,,,,,,0.0,,
1524141384,0.0,692.625,,,,,,,,,,,,0.0,500.0,,,,,,,,,,0.0,,
1524141385,,,,,0.4,0.2,,,,,,,,,,,,,,,,,,,0.0,,
1524141386,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141387,0.0,679.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141388,,,311.0,58.3,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141389,,,312.1,57.6,,,,,,,,,,,,,,,,69.28125,36.65625,,,,0.0,,
1524141390,,,,,,,,5.0,,,,,,,,,,,,,,-2.0,,,0.0,,
1524141391,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141392,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141393,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141394,0.0,692.625,,,,,,,,,,,,,,,,,,,,,69.28125,100.0,0.0,,
1524141396,0.0,695.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141397,,,311.0,51.1,,,0.0,5.0,,,,,,,,,,,,,,,,,0.0,,
1524141398,,,,,0.4,0.2,,,,,,,,,,,,,,,,,,,0.0,,
1524141399,0.0,688.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141400,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1524141401,,,309.6,51.1,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141402,0.0,684.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141403,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141405,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141406,0.0,691.25,309.2,57.95,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141408,0.0,684.125,,,,,,,,,,,,0.0,500.0,,,,,,,,,,0.0,,
1524141411,0.0,687.375,308.85,57.6,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141412,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1524141413,0.0,685.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524141414,,,308.15,56.15,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
